Category,Resume,Skills,Experience,Selected
Advocate,"Experienced Advocate professional with 6 years of experience. Proficient in ipc, litigation, legal research, contract drafting. Worked on multiple projects involving ipc and contract drafting. Strong analytical and problem-solving skills.","ipc, litigation, legal research, contract drafting",6,1
Business Analyst,"Experienced Business Analyst professional with 6 years of experience. Proficient in agile, uml, requirement gathering, stakeholder management. Worked on multiple projects involving agile and stakeholder management. Strong analytical and problem-solving skills.","agile, uml, requirement gathering, stakeholder management",6,1
Web Developer,"Experienced Web Developer professional with 5 years of experience. Proficient in react, javascript, html, mongodb. Worked on multiple projects involving react and mongodb. Strong analytical and problem-solving skills.","react, javascript, html, mongodb",5,1
SAP Developer,"Experienced SAP Developer professional with 10 years of experience. Proficient in sap abap, sap fi, sap mm, idoc. Worked on multiple projects involving sap abap and idoc. Strong analytical and problem-solving skills.","sap abap, sap fi, sap mm, idoc",10,1
Sales,"Experienced Sales professional with 8 years of experience. Proficient in lead generation, negotiation, cold calling, salesforce. Worked on multiple projects involving lead generation and salesforce. Strong analytical and problem-solving skills.","lead generation, negotiation, cold calling, salesforce",8,1
Civil Engineer,"Experienced Civil Engineer professional with 10 years of experience. Proficient in autocad, soil testing, staad pro, estimation. Worked on multiple projects involving autocad and estimation. Strong analytical and problem-solving skills.","autocad, soil testing, staad pro, estimation",10,1
Arts,"Experienced Arts professional with 11 years of experience. Proficient in content creation, illustrator, video editing, photoshop. Worked on multiple projects involving content creation and photoshop. Strong analytical and problem-solving skills.","content creation, illustrator, video editing, photoshop",11,1
Civil Engineer,"Experienced Civil Engineer professional with 9 years of experience. Proficient in project management, estimation, staad pro, autocad. Worked on multiple projects involving project management and autocad. Strong analytical and problem-solving skills.","project management, estimation, staad pro, autocad",9,0
Sales,"Experienced Sales professional with 0 years of experience. Proficient in salesforce, cold calling, crm, negotiation. Worked on multiple projects involving salesforce and negotiation. Strong analytical and problem-solving skills.","salesforce, cold calling, crm, negotiation",0,0
DevOps Engineer,"Experienced DevOps Engineer professional with 4 years of experience. Proficient in ci/cd, docker, aws, jenkins. Worked on multiple projects involving ci/cd and jenkins. Strong analytical and problem-solving skills.","ci/cd, docker, aws, jenkins",4,1
Data Science,"Experienced Data Science professional with 5 years of experience. Proficient in machine learning, tensorflow, sklearn, python. Worked on multiple projects involving machine learning and python. Strong analytical and problem-solving skills.","machine learning, tensorflow, sklearn, python",5,1
Advocate,"Experienced Advocate professional with 10 years of experience. Proficient in legal research, contract drafting, ipc, litigation. Worked on multiple projects involving legal research and litigation. Strong analytical and problem-solving skills.","legal research, contract drafting, ipc, litigation",10,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 5 years of experience. Proficient in solidworks, ansys, catia, cnc machining. Worked on multiple projects involving solidworks and cnc machining. Strong analytical and problem-solving skills.","solidworks, ansys, catia, cnc machining",5,1
Python Developer,"Experienced Python Developer professional with 2 years of experience. Proficient in postgresql, django, flask, rest api. Worked on multiple projects involving postgresql and rest api. Strong analytical and problem-solving skills.","postgresql, django, flask, rest api",2,0
Advocate,"Experienced Advocate professional with 2 years of experience. Proficient in ipc, legal research, contract drafting, litigation. Worked on multiple projects involving ipc and litigation. Strong analytical and problem-solving skills.","ipc, legal research, contract drafting, litigation",2,1
Sales,"Experienced Sales professional with 6 years of experience. Proficient in negotiation, lead generation, salesforce, crm. Worked on multiple projects involving negotiation and crm. Strong analytical and problem-solving skills.","negotiation, lead generation, salesforce, crm",6,0
Data Science,"Experienced Data Science professional with 6 years of experience. Proficient in tensorflow, pandas, sklearn, python. Worked on multiple projects involving tensorflow and python. Strong analytical and problem-solving skills.","tensorflow, pandas, sklearn, python",6,1
Java Developer,"Experienced Java Developer professional with 8 years of experience. Proficient in java, microservices, spring boot, sql. Worked on multiple projects involving java and sql. Strong analytical and problem-solving skills.","java, microservices, spring boot, sql",8,1
DevOps Engineer,"Experienced DevOps Engineer professional with 4 years of experience. Proficient in aws, ci/cd, terraform, jenkins. Worked on multiple projects involving aws and jenkins. Strong analytical and problem-solving skills.","aws, ci/cd, terraform, jenkins",4,0
Civil Engineer,"Experienced Civil Engineer professional with 2 years of experience. Proficient in estimation, staad pro, soil testing, project management. Worked on multiple projects involving estimation and project management. Strong analytical and problem-solving skills.","estimation, staad pro, soil testing, project management",2,0
Data Science,"Experienced Data Science professional with 3 years of experience. Proficient in tensorflow, sklearn, pandas, python. Worked on multiple projects involving tensorflow and python. Strong analytical and problem-solving skills.","tensorflow, sklearn, pandas, python",3,1
Python Developer,"Experienced Python Developer professional with 1 years of experience. Proficient in django, rest api, postgresql, flask. Worked on multiple projects involving django and flask. Strong analytical and problem-solving skills.","django, rest api, postgresql, flask",1,1
Network Security,"Experienced Network Security professional with 3 years of experience. Proficient in wireshark, siem, firewall, penetration testing. Worked on multiple projects involving wireshark and penetration testing. Strong analytical and problem-solving skills.","wireshark, siem, firewall, penetration testing",3,0
Data Science,"Experienced Data Science professional with 0 years of experience. Proficient in pandas, python, numpy, machine learning. Worked on multiple projects involving pandas and machine learning. Strong analytical and problem-solving skills.","pandas, python, numpy, machine learning",0,1
Python Developer,"Experienced Python Developer professional with 5 years of experience. Proficient in docker, python, django, postgresql. Worked on multiple projects involving docker and postgresql. Strong analytical and problem-solving skills.","docker, python, django, postgresql",5,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 10 years of experience. Proficient in solidworks, cnc machining, catia, ansys. Worked on multiple projects involving solidworks and ansys. Strong analytical and problem-solving skills.","solidworks, cnc machining, catia, ansys",10,1
Data Science,"Experienced Data Science professional with 2 years of experience. Proficient in numpy, pandas, tensorflow, sklearn. Worked on multiple projects involving numpy and sklearn. Strong analytical and problem-solving skills.","numpy, pandas, tensorflow, sklearn",2,1
DevOps Engineer,"Experienced DevOps Engineer professional with 4 years of experience. Proficient in ci/cd, terraform, kubernetes, aws. Worked on multiple projects involving ci/cd and aws. Strong analytical and problem-solving skills.","ci/cd, terraform, kubernetes, aws",4,0
Civil Engineer,"Experienced Civil Engineer professional with 4 years of experience. Proficient in staad pro, project management, autocad, soil testing. Worked on multiple projects involving staad pro and soil testing. Strong analytical and problem-solving skills.","staad pro, project management, autocad, soil testing",4,1
Data Science,"Experienced Data Science professional with 2 years of experience. Proficient in pandas, tensorflow, numpy, python. Worked on multiple projects involving pandas and python. Strong analytical and problem-solving skills.","pandas, tensorflow, numpy, python",2,1
Java Developer,"Experienced Java Developer professional with 1 years of experience. Proficient in java, maven, sql, hibernate. Worked on multiple projects involving java and hibernate. Strong analytical and problem-solving skills.","java, maven, sql, hibernate",1,0
Web Developer,"Experienced Web Developer professional with 7 years of experience. Proficient in mongodb, html, react, node.js. Worked on multiple projects involving mongodb and node.js. Strong analytical and problem-solving skills.","mongodb, html, react, node.js",7,1
Business Analyst,"Experienced Business Analyst professional with 2 years of experience. Proficient in requirement gathering, stakeholder management, agile, uml. Worked on multiple projects involving requirement gathering and uml. Strong analytical and problem-solving skills.","requirement gathering, stakeholder management, agile, uml",2,1
Automation Testing,"Experienced Automation Testing professional with 3 years of experience. Proficient in api testing, selenium, jira, testng. Worked on multiple projects involving api testing and testng. Strong analytical and problem-solving skills.","api testing, selenium, jira, testng",3,0
Data Science,"Experienced Data Science professional with 11 years of experience. Proficient in pandas, python, sklearn, numpy. Worked on multiple projects involving pandas and numpy. Strong analytical and problem-solving skills.","pandas, python, sklearn, numpy",11,1
PMO,"Experienced PMO professional with 5 years of experience. Proficient in agile, budget planning, risk management, pmp. Worked on multiple projects involving agile and pmp. Strong analytical and problem-solving skills.","agile, budget planning, risk management, pmp",5,1
DevOps Engineer,"Experienced DevOps Engineer professional with 10 years of experience. Proficient in docker, terraform, ci/cd, aws. Worked on multiple projects involving docker and aws. Strong analytical and problem-solving skills.","docker, terraform, ci/cd, aws",10,1
Data Science,"Experienced Data Science professional with 3 years of experience. Proficient in pandas, numpy, python, tensorflow. Worked on multiple projects involving pandas and tensorflow. Strong analytical and problem-solving skills.","pandas, numpy, python, tensorflow",3,0
Database Administrator,"Experienced Database Administrator professional with 11 years of experience. Proficient in postgresql, oracle, sql, backup. Worked on multiple projects involving postgresql and backup. Strong analytical and problem-solving skills.","postgresql, oracle, sql, backup",11,1
PMO,"Experienced PMO professional with 11 years of experience. Proficient in pmp, agile, risk management, budget planning. Worked on multiple projects involving pmp and budget planning. Strong analytical and problem-solving skills.","pmp, agile, risk management, budget planning",11,1
Arts,"Experienced Arts professional with 6 years of experience. Proficient in video editing, content creation, photoshop, illustrator. Worked on multiple projects involving video editing and illustrator. Strong analytical and problem-solving skills.","video editing, content creation, photoshop, illustrator",6,1
SAP Developer,"Experienced SAP Developer professional with 0 years of experience. Proficient in bapi, sap fi, sap mm, sap abap. Worked on multiple projects involving bapi and sap abap. Strong analytical and problem-solving skills.","bapi, sap fi, sap mm, sap abap",0,1
Python Developer,"Experienced Python Developer professional with 6 years of experience. Proficient in flask, django, rest api, docker. Worked on multiple projects involving flask and docker. Strong analytical and problem-solving skills.","flask, django, rest api, docker",6,1
Arts,"Experienced Arts professional with 2 years of experience. Proficient in content creation, video editing, photoshop, illustrator. Worked on multiple projects involving content creation and illustrator. Strong analytical and problem-solving skills.","content creation, video editing, photoshop, illustrator",2,1
Python Developer,"Experienced Python Developer professional with 11 years of experience. Proficient in rest api, docker, python, django. Worked on multiple projects involving rest api and django. Strong analytical and problem-solving skills.","rest api, docker, python, django",11,1
DevOps Engineer,"Experienced DevOps Engineer professional with 4 years of experience. Proficient in aws, ci/cd, kubernetes, docker. Worked on multiple projects involving aws and docker. Strong analytical and problem-solving skills.","aws, ci/cd, kubernetes, docker",4,1
Data Science,"Experienced Data Science professional with 5 years of experience. Proficient in python, machine learning, pandas, numpy. Worked on multiple projects involving python and numpy. Strong analytical and problem-solving skills.","python, machine learning, pandas, numpy",5,1
Web Developer,"Experienced Web Developer professional with 0 years of experience. Proficient in html, mongodb, javascript, node.js. Worked on multiple projects involving html and node.js. Strong analytical and problem-solving skills.","html, mongodb, javascript, node.js",0,0
Automation Testing,"Experienced Automation Testing professional with 0 years of experience. Proficient in selenium, testng, jira, api testing. Worked on multiple projects involving selenium and api testing. Strong analytical and problem-solving skills.","selenium, testng, jira, api testing",0,0
Database Administrator,"Experienced Database Administrator professional with 2 years of experience. Proficient in backup, performance tuning, sql, mysql. Worked on multiple projects involving backup and mysql. Strong analytical and problem-solving skills.","backup, performance tuning, sql, mysql",2,0
SAP Developer,"Experienced SAP Developer professional with 9 years of experience. Proficient in idoc, sap mm, bapi, sap abap. Worked on multiple projects involving idoc and sap abap. Strong analytical and problem-solving skills.","idoc, sap mm, bapi, sap abap",9,1
Automation Testing,"Experienced Automation Testing professional with 2 years of experience. Proficient in selenium, api testing, testng, jira. Worked on multiple projects involving selenium and jira. Strong analytical and problem-solving skills.","selenium, api testing, testng, jira",2,0
DevOps Engineer,"Experienced DevOps Engineer professional with 1 years of experience. Proficient in docker, ci/cd, jenkins, terraform. Worked on multiple projects involving docker and terraform. Strong analytical and problem-solving skills.","docker, ci/cd, jenkins, terraform",1,1
Sales,"Experienced Sales professional with 10 years of experience. Proficient in negotiation, salesforce, crm, lead generation. Worked on multiple projects involving negotiation and lead generation. Strong analytical and problem-solving skills.","negotiation, salesforce, crm, lead generation",10,1
Advocate,"Experienced Advocate professional with 8 years of experience. Proficient in contract drafting, litigation, ipc, legal research. Worked on multiple projects involving contract drafting and legal research. Strong analytical and problem-solving skills.","contract drafting, litigation, ipc, legal research",8,1
Arts,"Experienced Arts professional with 2 years of experience. Proficient in illustrator, content creation, video editing, photoshop. Worked on multiple projects involving illustrator and photoshop. Strong analytical and problem-solving skills.","illustrator, content creation, video editing, photoshop",2,1
Network Security,"Experienced Network Security professional with 6 years of experience. Proficient in vpn, ids/ips, wireshark, penetration testing. Worked on multiple projects involving vpn and penetration testing. Strong analytical and problem-solving skills.","vpn, ids/ips, wireshark, penetration testing",6,0
Civil Engineer,"Experienced Civil Engineer professional with 8 years of experience. Proficient in soil testing, project management, staad pro, estimation. Worked on multiple projects involving soil testing and estimation. Strong analytical and problem-solving skills.","soil testing, project management, staad pro, estimation",8,1
PMO,"Experienced PMO professional with 2 years of experience. Proficient in pmp, risk management, agile, budget planning. Worked on multiple projects involving pmp and budget planning. Strong analytical and problem-solving skills.","pmp, risk management, agile, budget planning",2,1
Sales,"Experienced Sales professional with 3 years of experience. Proficient in crm, salesforce, negotiation, lead generation. Worked on multiple projects involving crm and lead generation. Strong analytical and problem-solving skills.","crm, salesforce, negotiation, lead generation",3,1
Operations Manager,"Experienced Operations Manager professional with 8 years of experience. Proficient in erp, lean, six sigma, supply chain. Worked on multiple projects involving erp and supply chain. Strong analytical and problem-solving skills.","erp, lean, six sigma, supply chain",8,1
Advocate,"Experienced Advocate professional with 8 years of experience. Proficient in ipc, contract drafting, litigation, legal research. Worked on multiple projects involving ipc and legal research. Strong analytical and problem-solving skills.","ipc, contract drafting, litigation, legal research",8,1
Java Developer,"Experienced Java Developer professional with 10 years of experience. Proficient in sql, maven, hibernate, java. Worked on multiple projects involving sql and java. Strong analytical and problem-solving skills.","sql, maven, hibernate, java",10,1
Operations Manager,"Experienced Operations Manager professional with 11 years of experience. Proficient in kpi, six sigma, lean, supply chain. Worked on multiple projects involving kpi and supply chain. Strong analytical and problem-solving skills.","kpi, six sigma, lean, supply chain",11,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 1 years of experience. Proficient in ansys, solidworks, catia, cnc machining. Worked on multiple projects involving ansys and cnc machining. Strong analytical and problem-solving skills.","ansys, solidworks, catia, cnc machining",1,0
Web Developer,"Experienced Web Developer professional with 7 years of experience. Proficient in javascript, react, css, html. Worked on multiple projects involving javascript and html. Strong analytical and problem-solving skills.","javascript, react, css, html",7,1
Data Science,"Experienced Data Science professional with 8 years of experience. Proficient in pandas, sklearn, numpy, python. Worked on multiple projects involving pandas and python. Strong analytical and problem-solving skills.","pandas, sklearn, numpy, python",8,1
Advocate,"Experienced Advocate professional with 11 years of experience. Proficient in ipc, legal research, litigation, contract drafting. Worked on multiple projects involving ipc and contract drafting. Strong analytical and problem-solving skills.","ipc, legal research, litigation, contract drafting",11,1
Java Developer,"Experienced Java Developer professional with 1 years of experience. Proficient in maven, java, microservices, sql. Worked on multiple projects involving maven and sql. Strong analytical and problem-solving skills.","maven, java, microservices, sql",1,1
Database Administrator,"Experienced Database Administrator professional with 0 years of experience. Proficient in oracle, performance tuning, sql, mysql. Worked on multiple projects involving oracle and mysql. Strong analytical and problem-solving skills.","oracle, performance tuning, sql, mysql",0,0
DevOps Engineer,"Experienced DevOps Engineer professional with 9 years of experience. Proficient in ci/cd, jenkins, aws, kubernetes. Worked on multiple projects involving ci/cd and kubernetes. Strong analytical and problem-solving skills.","ci/cd, jenkins, aws, kubernetes",9,1
Automation Testing,"Experienced Automation Testing professional with 5 years of experience. Proficient in postman, testng, selenium, jira. Worked on multiple projects involving postman and jira. Strong analytical and problem-solving skills.","postman, testng, selenium, jira",5,0
Arts,"Experienced Arts professional with 3 years of experience. Proficient in illustrator, photoshop, video editing, content creation. Worked on multiple projects involving illustrator and content creation. Strong analytical and problem-solving skills.","illustrator, photoshop, video editing, content creation",3,1
Operations Manager,"Experienced Operations Manager professional with 0 years of experience. Proficient in six sigma, erp, lean, kpi. Worked on multiple projects involving six sigma and kpi. Strong analytical and problem-solving skills.","six sigma, erp, lean, kpi",0,0
HR,"Experienced HR professional with 7 years of experience. Proficient in employee engagement, hrms, onboarding, payroll. Worked on multiple projects involving employee engagement and payroll. Strong analytical and problem-solving skills.","employee engagement, hrms, onboarding, payroll",7,1
Health and Fitness,"Experienced Health and Fitness professional with 9 years of experience. Proficient in nutrition, cpr, physiotherapy, anatomy. Worked on multiple projects involving nutrition and anatomy. Strong analytical and problem-solving skills.","nutrition, cpr, physiotherapy, anatomy",9,1
Arts,"Experienced Arts professional with 0 years of experience. Proficient in content creation, illustrator, video editing, photoshop. Worked on multiple projects involving content creation and photoshop. Strong analytical and problem-solving skills.","content creation, illustrator, video editing, photoshop",0,1
Database Administrator,"Experienced Database Administrator professional with 2 years of experience. Proficient in oracle, mysql, sql, performance tuning. Worked on multiple projects involving oracle and performance tuning. Strong analytical and problem-solving skills.","oracle, mysql, sql, performance tuning",2,0
Network Security,"Experienced Network Security professional with 9 years of experience. Proficient in penetration testing, vpn, firewall, wireshark. Worked on multiple projects involving penetration testing and wireshark. Strong analytical and problem-solving skills.","penetration testing, vpn, firewall, wireshark",9,0
Network Security,"Experienced Network Security professional with 0 years of experience. Proficient in penetration testing, vpn, wireshark, firewall. Worked on multiple projects involving penetration testing and firewall. Strong analytical and problem-solving skills.","penetration testing, vpn, wireshark, firewall",0,0
Network Security,"Experienced Network Security professional with 8 years of experience. Proficient in siem, penetration testing, vpn, wireshark. Worked on multiple projects involving siem and wireshark. Strong analytical and problem-solving skills.","siem, penetration testing, vpn, wireshark",8,0
DevOps Engineer,"Experienced DevOps Engineer professional with 0 years of experience. Proficient in jenkins, ci/cd, terraform, kubernetes. Worked on multiple projects involving jenkins and kubernetes. Strong analytical and problem-solving skills.","jenkins, ci/cd, terraform, kubernetes",0,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 4 years of experience. Proficient in catia, ansys, thermodynamics, solidworks. Worked on multiple projects involving catia and solidworks. Strong analytical and problem-solving skills.","catia, ansys, thermodynamics, solidworks",4,0
Arts,"Experienced Arts professional with 9 years of experience. Proficient in video editing, illustrator, content creation, photoshop. Worked on multiple projects involving video editing and photoshop. Strong analytical and problem-solving skills.","video editing, illustrator, content creation, photoshop",9,1
Electrical Engineering,"Experienced Electrical Engineering professional with 3 years of experience. Proficient in matlab, circuit design, power systems, scada. Worked on multiple projects involving matlab and scada. Strong analytical and problem-solving skills.","matlab, circuit design, power systems, scada",3,1
DevOps Engineer,"Experienced DevOps Engineer professional with 9 years of experience. Proficient in docker, terraform, aws, ci/cd. Worked on multiple projects involving docker and ci/cd. Strong analytical and problem-solving skills.","docker, terraform, aws, ci/cd",9,1
HR,"Experienced HR professional with 11 years of experience. Proficient in employee engagement, hrms, recruitment, onboarding. Worked on multiple projects involving employee engagement and onboarding. Strong analytical and problem-solving skills.","employee engagement, hrms, recruitment, onboarding",11,1
DevOps Engineer,"Experienced DevOps Engineer professional with 2 years of experience. Proficient in ci/cd, docker, jenkins, kubernetes. Worked on multiple projects involving ci/cd and kubernetes. Strong analytical and problem-solving skills.","ci/cd, docker, jenkins, kubernetes",2,0
Web Developer,"Experienced Web Developer professional with 10 years of experience. Proficient in html, javascript, react, node.js. Worked on multiple projects involving html and node.js. Strong analytical and problem-solving skills.","html, javascript, react, node.js",10,1
Web Developer,"Experienced Web Developer professional with 11 years of experience. Proficient in javascript, mongodb, node.js, css. Worked on multiple projects involving javascript and css. Strong analytical and problem-solving skills.","javascript, mongodb, node.js, css",11,1
Java Developer,"Experienced Java Developer professional with 9 years of experience. Proficient in microservices, spring boot, maven, sql. Worked on multiple projects involving microservices and sql. Strong analytical and problem-solving skills.","microservices, spring boot, maven, sql",9,0
Java Developer,"Experienced Java Developer professional with 5 years of experience. Proficient in hibernate, spring boot, microservices, sql. Worked on multiple projects involving hibernate and sql. Strong analytical and problem-solving skills.","hibernate, spring boot, microservices, sql",5,1
Automation Testing,"Experienced Automation Testing professional with 8 years of experience. Proficient in testng, selenium, postman, api testing. Worked on multiple projects involving testng and api testing. Strong analytical and problem-solving skills.","testng, selenium, postman, api testing",8,1
Python Developer,"Experienced Python Developer professional with 2 years of experience. Proficient in django, docker, python, postgresql. Worked on multiple projects involving django and postgresql. Strong analytical and problem-solving skills.","django, docker, python, postgresql",2,1
Network Security,"Experienced Network Security professional with 4 years of experience. Proficient in wireshark, firewall, penetration testing, ids/ips. Worked on multiple projects involving wireshark and ids/ips. Strong analytical and problem-solving skills.","wireshark, firewall, penetration testing, ids/ips",4,1
Java Developer,"Experienced Java Developer professional with 8 years of experience. Proficient in maven, hibernate, java, spring boot. Worked on multiple projects involving maven and spring boot. Strong analytical and problem-solving skills.","maven, hibernate, java, spring boot",8,1
Electrical Engineering,"Experienced Electrical Engineering professional with 10 years of experience. Proficient in matlab, circuit design, power systems, plc. Worked on multiple projects involving matlab and plc. Strong analytical and problem-solving skills.","matlab, circuit design, power systems, plc",10,1
Operations Manager,"Experienced Operations Manager professional with 10 years of experience. Proficient in kpi, erp, six sigma, lean. Worked on multiple projects involving kpi and lean. Strong analytical and problem-solving skills.","kpi, erp, six sigma, lean",10,0
DevOps Engineer,"Experienced DevOps Engineer professional with 3 years of experience. Proficient in terraform, ci/cd, aws, docker. Worked on multiple projects involving terraform and docker. Strong analytical and problem-solving skills.","terraform, ci/cd, aws, docker",3,1
Electrical Engineering,"Experienced Electrical Engineering professional with 7 years of experience. Proficient in plc, power systems, circuit design, matlab. Worked on multiple projects involving plc and matlab. Strong analytical and problem-solving skills.","plc, power systems, circuit design, matlab",7,1
Electrical Engineering,"Experienced Electrical Engineering professional with 2 years of experience. Proficient in scada, plc, power systems, matlab. Worked on multiple projects involving scada and matlab. Strong analytical and problem-solving skills.","scada, plc, power systems, matlab",2,0
Electrical Engineering,"Experienced Electrical Engineering professional with 9 years of experience. Proficient in matlab, scada, plc, power systems. Worked on multiple projects involving matlab and power systems. Strong analytical and problem-solving skills.","matlab, scada, plc, power systems",9,1
PMO,"Experienced PMO professional with 9 years of experience. Proficient in budget planning, pmp, agile, risk management. Worked on multiple projects involving budget planning and risk management. Strong analytical and problem-solving skills.","budget planning, pmp, agile, risk management",9,1
DevOps Engineer,"Experienced DevOps Engineer professional with 3 years of experience. Proficient in jenkins, ci/cd, docker, aws. Worked on multiple projects involving jenkins and aws. Strong analytical and problem-solving skills.","jenkins, ci/cd, docker, aws",3,1
Java Developer,"Experienced Java Developer professional with 3 years of experience. Proficient in microservices, maven, spring boot, sql. Worked on multiple projects involving microservices and sql. Strong analytical and problem-solving skills.","microservices, maven, spring boot, sql",3,1
Web Developer,"Experienced Web Developer professional with 4 years of experience. Proficient in node.js, mongodb, css, javascript. Worked on multiple projects involving node.js and javascript. Strong analytical and problem-solving skills.","node.js, mongodb, css, javascript",4,1
Web Developer,"Experienced Web Developer professional with 8 years of experience. Proficient in node.js, react, css, html. Worked on multiple projects involving node.js and html. Strong analytical and problem-solving skills.","node.js, react, css, html",8,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 7 years of experience. Proficient in solidworks, thermodynamics, ansys, catia. Worked on multiple projects involving solidworks and catia. Strong analytical and problem-solving skills.","solidworks, thermodynamics, ansys, catia",7,0
HR,"Experienced HR professional with 7 years of experience. Proficient in hrms, onboarding, recruitment, employee engagement. Worked on multiple projects involving hrms and employee engagement. Strong analytical and problem-solving skills.","hrms, onboarding, recruitment, employee engagement",7,1
Web Developer,"Experienced Web Developer professional with 5 years of experience. Proficient in html, css, node.js, javascript. Worked on multiple projects involving html and javascript. Strong analytical and problem-solving skills.","html, css, node.js, javascript",5,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 10 years of experience. Proficient in thermodynamics, cnc machining, solidworks, catia. Worked on multiple projects involving thermodynamics and catia. Strong analytical and problem-solving skills.","thermodynamics, cnc machining, solidworks, catia",10,1
